BT Time,FSM Time
0.3733333,3.385095
5.374745,1.517642
0.0106909,5.000509
0.0112524,0.6960291
0.0233947,0.6969911
1.55808,6.408003
2.603622,2.169334
0.0099148,3.651735
0.0095612,1.191626
0.0105005,
0.0095776,
0.0097504,
0.0096015,
0.0097778,
0.010026,
0.0102772,
0.0134632,
0.0211631,
0.012003,
0.0125716,
0.0147845,
0.0193235,
0.0292314,
2.974682,
0.0100982,
0.0093771,
0.0092305,
0.0089722,
0.009488,
1.028282,
0.0106718,
0.0101598,
0.0096546,
0.009754,
0.0097264,
0.4749489,
2.589836,
0.0095045,
0.0103051,
0.0335312,
0.0258645,
0.0235178,
0.0340005,
6.892899,
0.0111466,
0.0101797,
0.0117848,
0.0104404,
0.0109061,
0.0135803,
0.0110558,
0.013659,
0.0118371,
2.988539,
0.0266203,
